	"names"	"clusters"
"227"	"AURKB"	1
"228"	"AVP"	2
"229"	"AXIN2"	19
"230"	"AXL"	1
"231"	"B2M"	20
"232"	"B3GALNT2"	19
"233"	"B3GALT5"	9
"234"	"B3GAT2"	1
"235"	"B3GNT2"	10
"236"	"B3GNT3"	9
"237"	"B3GNT5"	9
"238"	"B4GALT1"	9
"239"	"B4GALT4"	19
"240"	"BACE1_AS"	16
"241"	"BACE2"	15
"242"	"BAD"	10
"243"	"BAG2"	19
"244"	"BAIAP2L1"	6
"245"	"BAIAP2L2"	6
"246"	"BAMBI"	10
"247"	"BANF1"	16
"248"	"BASP1"	16
"249"	"BAZ1B"	4
"250"	"BAZ2B"	2
"251"	"BCAM"	6
"252"	"BCAP29"	2
"253"	"BCAP31"	9
"254"	"BCAR1"	16
"255"	"BCAS1"	4
"256"	"BCAS4"	10
"257"	"BCHE"	15
"258"	"BCL11A"	19
"259"	"BCL2"	10
"260"	"BCL7C"	16
"261"	"BCO2"	9
"262"	"BDH1"	10
"263"	"BEND5"	4
"264"	"BEX1"	17
"265"	"BEX2"	15
"266"	"BEX5"	13
"267"	"BHLHE40"	12
"268"	"BHLHE41"	1
"269"	"BICC1"	10
"270"	"BIN1"	10
"271"	"BIRC5"	16
"272"	"BLMH"	8
"273"	"BLOC1S2"	16
"274"	"BMP2"	10
"275"	"BMP2K"	15
"276"	"BMP4"	2
"277"	"BMP5"	18
"278"	"BMP7"	15
"279"	"BNIP3"	12
"280"	"BNIP3L"	15
"281"	"BPGM"	16
"282"	"BPTF"	4
"283"	"BRD4"	19
"284"	"BRD7"	4
"285"	"BRINP3"	15
"286"	"BSG"	9
"287"	"BST2"	2
"288"	"BTF3L4"	16
"289"	"BTG1"	1
"290"	"BTG2"	15
"291"	"BTG3"	4
"292"	"BTNL3"	16
"293"	"BTNL8"	12
"294"	"BZW1"	10
"295"	"C10orf10"	6
"296"	"C10orf107"	19
"297"	"C10orf35"	10
"298"	"C10orf54"	9
"299"	"C10orf76"	15
"300"	"C11orf1"	16
"301"	"C11orf24"	9
"302"	"C11orf73"	16
"303"	"C11orf86"	12
"304"	"C12orf49"	16
"305"	"C12orf73"	4
"306"	"C12orf75"	6
"307"	"C14orf105"	18
"308"	"C14orf119"	16
"309"	"C14orf132"	1
"310"	"C15orf48"	11
"311"	"C16orf74"	15
"312"	"C17orf78"	12
"313"	"C19orf33"	18
"314"	"C19orf81"	2
"315"	"C1D"	16
"316"	"C1GALT1"	10
"317"	"C1GALT1C1"	19
"318"	"C1QA"	1
"319"	"C1QL1"	6
"320"	"C1QTNF4"	14
"321"	"C1orf116"	10
"322"	"C1orf122"	16
"323"	"C1orf198"	10
"324"	"C1orf53"	16
"325"	"C1orf74"	2
"326"	"C2"	8
"327"	"C22orf39"	16
"328"	"C22orf46"	1
"329"	"C4orf27"	10
"330"	"C4orf3"	8
"331"	"C4orf46"	15
"332"	"C4orf48"	13
"333"	"C5orf15"	10
"334"	"C5orf24"	8
"335"	"C5orf30"	1
"336"	"C5orf42"	10
"337"	"C6"	18
"338"	"C6orf1"	10
"339"	"C6orf141"	3
"340"	"C7"	16
"341"	"C8orf4"	9
"342"	"C9orf152"	1
"343"	"C9orf16"	13
"344"	"C9orf78"	1
"345"	"CA12"	15
"346"	"CA14"	16
"347"	"CA2"	18
"348"	"CA8"	1
"349"	"CACNA1A"	1
"350"	"CACNA1D"	12
"351"	"CACNA2D1"	16
"352"	"CADM1"	15
"353"	"CADPS"	6
"354"	"CALCOCO1"	9
"355"	"CALD1"	13
"356"	"CALM2"	16
"357"	"CALR"	10
"358"	"CALU"	10
"359"	"CAMK1D"	4
"360"	"CAMK2N1"	16
"361"	"CAMKV"	1
"362"	"CAMTA1"	16
"363"	"CAPN13"	18
"364"	"CAPN2"	15
"365"	"CAPS"	18
"366"	"CARMN"	2
"367"	"CARS"	16
"368"	"CASP3"	18
"369"	"CASP6"	18
"370"	"CAST"	15
"371"	"CAV1"	14
"372"	"CBFA2T2"	1
"373"	"CBR1"	18
"374"	"CBWD1"	16
"375"	"CBX1"	4
"376"	"CBX2"	16
"377"	"CCDC14"	2
"378"	"CCDC141"	15
"379"	"CCDC171"	2
"380"	"CCDC186"	19
"381"	"CCDC34"	6
"382"	"CCDC47"	19
"383"	"CCDC68"	10
"384"	"CCDC69"	2
"385"	"CCDC82"	16
"386"	"CCDC85B"	19
"387"	"CCDC88A"	2
"388"	"CCL15"	12
"389"	"CCL25"	6
"390"	"CCNA2"	16
"391"	"CCNB1"	16
"392"	"CCNB1IP1"	6
"393"	"CCNB2"	10
"394"	"CCND1"	3
"395"	"CCND3"	18
"396"	"CCNE1"	16
"397"	"CCP110"	4
"398"	"CD151"	6
"399"	"CD164"	9
"400"	"CD1D"	12
"401"	"CD200"	1
"402"	"CD248"	2
"403"	"CD300A"	18
"404"	"CD320"	10
"405"	"CD36"	2
"406"	"CD46"	9
"407"	"CD47"	16
"408"	"CD55"	6
"409"	"CD59"	10
"410"	"CD63"	10
"411"	"CD68"	18
"412"	"CD7"	9
"413"	"CD74"	9
"414"	"CD81"	19
"415"	"CD9"	16
"416"	"CD99L2"	19
"417"	"CDC20"	6
"418"	"CDC42EP1"	18
"419"	"CDC42EP3"	4
"420"	"CDC42EP5"	6
"421"	"CDCA4"	10
"422"	"CDH11"	2
"423"	"CDH12"	17
"424"	"CDH17"	3
"425"	"CDH2"	13
"426"	"CDH6"	9
"427"	"CDH7"	15
"428"	"CDHR2"	9
"429"	"CDHR5"	20
"430"	"CDK1"	16
"431"	"CDK18"	14
"432"	"CDK6"	15
"433"	"CDKL3"	16
"434"	"CDKN1A"	9
"435"	"CDKN1B"	10
"436"	"CDKN2B"	9
"437"	"CDKN2B_AS1"	1
"438"	"CDKN3"	4
"439"	"CDPF1"	1
"440"	"CDS2"	9
"441"	"CDX1"	6
"442"	"CDX2"	10
"443"	"CEBPA"	10
"444"	"CEBPB"	9
"445"	"CEBPD"	16
"446"	"CECR2"	16
"447"	"CEL"	1
"448"	"CELF2"	13
"449"	"CENPA"	16
"450"	"CENPC"	14
"451"	"CENPE"	10
"452"	"CENPF"	8
"453"	"CENPM"	16
"454"	"CENPN"	4
"455"	"CEP135"	19
"456"	"CEP250"	1
"457"	"CEP350"	15
"458"	"CEP68"	16
"459"	"CEP78"	15
"460"	"CES1"	18
"461"	"CES2"	1
"462"	"CETN2"	2
"463"	"CETN3"	16
"464"	"CFD"	2
"465"	"CFI"	18
"466"	"CFTR"	20
"467"	"CH17_189H20_1"	19
"468"	"CH17_340M24_3"	6
"469"	"CH17_373J23_1"	2
"470"	"CHCHD6"	4
"471"	"CHD3"	16
"472"	"CHD9"	9
"473"	"CHDH"	4
"474"	"CHGA"	7
"475"	"CHP2"	9
"476"	"CHPF"	16
"477"	"CHPT1"	18
"478"	"CHRNA5"	6
"479"	"CHST12"	10
"480"	"CHST13"	6
"481"	"CHST3"	16
"482"	"CHST9"	18
"483"	"CIART"	4
"484"	"CIDEB"	9
"485"	"CITED2"	6
"486"	"CKAP2"	16
"487"	"CKAP2L"	20
"488"	"CKAP4"	10
"489"	"CKB"	10
"490"	"CKS1B"	16
"491"	"CKS2"	1
"492"	"CLASP2"	16
"493"	"CLCA1"	5
"494"	"CLDN1"	18
"495"	"CLDN15"	18
"496"	"CLDN19"	2
"497"	"CLDN3"	17
"498"	"CLDN4"	6
"499"	"CLDN5"	1
"500"	"CLDN6"	9
"501"	"CLDN7"	10
"502"	"CLDND1"	10
"503"	"CLDND2"	2
"504"	"CLEC11A"	15
"505"	"CLIC3"	1
"506"	"CLIC4"	4
"507"	"CLIP1"	17
"508"	"CLN3"	2
"509"	"CLN5"	2
"510"	"CLRN3"	18
"511"	"CLSPN"	10
"512"	"CLU"	3
"513"	"CMAS"	10
"514"	"CMSS1"	18
"515"	"CMTM3"	15
"516"	"CMTM4"	1
"517"	"CMTM7"	16
"518"	"CNFN"	15
"519"	"CNGA1"	1
"520"	"CNN1"	2
"521"	"CNN2"	14
"522"	"CNN3"	15
"523"	"CNPY2"	18
"524"	"CNPY4"	19
"525"	"CNTLN"	14
"526"	"CNTN4"	15
"527"	"CNTNAP2"	17
"528"	"COA1"	19
"529"	"COBLL1"	18
"530"	"COL14A1"	18
"531"	"COL18A1"	6
"532"	"COL1A1"	12
"533"	"COL1A2"	11
"534"	"COL2A1"	13
"535"	"COL3A1"	11
"536"	"COL4A5"	1
"537"	"COL5A1"	2
"538"	"COL6A1"	6
"539"	"COL6A2"	17
"540"	"COL6A3"	1
"541"	"COLCA1"	1
"542"	"COMMD10"	16
"543"	"COMMD6"	18
"544"	"COPS8"	16
"545"	"COX17"	6
"546"	"COX6A1"	9
"547"	"COX6C"	18
"548"	"COX7A2"	6
"549"	"COX7C"	6
"550"	"CPA2"	1
"551"	"CPD"	9
"552"	"CPE"	5
"553"	"CPM"	10
"554"	"CPQ"	9
"555"	"CPS1"	18
"556"	"CPTP"	15
"557"	"CPVL"	8
"558"	"CPXM1"	14
"559"	"CRABP1"	17
"560"	"CRABP2"	20
"561"	"CRBN"	16
"562"	"CRCP"	4
"563"	"CREB3L2"	10
"564"	"CREB3L3"	9
"565"	"CREBRF"	15
"566"	"CRELD1"	9
"567"	"CRELD2"	16
"568"	"CREM"	10
"569"	"CRIP1"	1
"570"	"CRIP2"	1
"571"	"CRISPLD1"	10
"572"	"CRLS1"	10
"573"	"CRNDE"	16
"574"	"CROT"	9
"575"	"CRYL1"	18
"576"	"CRYZL1"	10
"577"	"CS"	8
"578"	"CSAD"	9
"579"	"CSE1L"	16
"580"	"CSF3R"	1
"581"	"CSK"	1
"582"	"CSRP1"	14
"583"	"CSRP2"	4
