	"names"	"clusters"
"227"	"BTC"	1
"228"	"BTG2"	14
"229"	"BTRC"	5
"230"	"BZW2"	14
"231"	"C10orf10"	7
"232"	"C10orf107"	14
"233"	"C10orf54"	20
"234"	"C11orf1"	2
"235"	"C11orf96"	10
"236"	"C12orf75"	20
"237"	"C12orf76"	2
"238"	"C14orf132"	9
"239"	"C15orf39"	4
"240"	"C15orf41"	7
"241"	"C16orf45"	6
"242"	"C16orf74"	14
"243"	"C19orf33"	1
"244"	"C1QTNF2"	1
"245"	"C1QTNF3"	12
"246"	"C1QTNF4"	18
"247"	"C1R"	20
"248"	"C1S"	1
"249"	"C1orf122"	6
"250"	"C1orf198"	9
"251"	"C1orf21"	19
"252"	"C1orf56"	7
"253"	"C21orf58"	3
"254"	"C22orf46"	1
"255"	"C2orf40"	13
"256"	"C2orf44"	7
"257"	"C3orf70"	9
"258"	"C4orf48"	20
"259"	"C5orf30"	11
"260"	"C5orf42"	14
"261"	"C5orf56"	18
"262"	"C6orf141"	1
"263"	"C7"	12
"264"	"C7orf50"	18
"265"	"C8orf4"	8
"266"	"C8orf88"	6
"267"	"C9orf3"	6
"268"	"CA2"	20
"269"	"CA3"	6
"270"	"CACNA1A"	2
"271"	"CACNA1C"	2
"272"	"CACNB2"	3
"273"	"CADM1"	11
"274"	"CALCB"	1
"275"	"CALCRL"	3
"276"	"CALD1"	11
"277"	"CALM1"	9
"278"	"CALM2"	20
"279"	"CALM3"	13
"280"	"CALR"	20
"281"	"CALU"	14
"282"	"CAMK2N1"	4
"283"	"CAMK4"	14
"284"	"CANT1"	14
"285"	"CAP1"	13
"286"	"CAP2"	6
"287"	"CAPN2"	4
"288"	"CAPN6"	16
"289"	"CAPZB"	19
"290"	"CARD16"	1
"291"	"CARMN"	19
"292"	"CASC15"	7
"293"	"CASC5"	20
"294"	"CASP4"	17
"295"	"CASP7"	16
"296"	"CAV1"	10
"297"	"CAV2"	9
"298"	"CBFB"	2
"299"	"CBL"	14
"300"	"CBWD5"	7
"301"	"CBX5"	6
"302"	"CBX6"	11
"303"	"CCBE1"	11
"304"	"CCDC102B"	3
"305"	"CCDC106"	18
"306"	"CCDC107"	13
"307"	"CCDC117"	7
"308"	"CCDC14"	1
"309"	"CCDC167"	13
"310"	"CCDC3"	17
"311"	"CCDC34"	7
"312"	"CCDC51"	7
"313"	"CCDC68"	8
"314"	"CCDC80"	18
"315"	"CCDC88C"	13
"316"	"CCDC92"	13
"317"	"CCL2"	13
"318"	"CCNA2"	3
"319"	"CCNB1"	9
"320"	"CCNB2"	3
"321"	"CCND1"	3
"322"	"CCND2"	9
"323"	"CCND3"	7
"324"	"CCNG1"	7
"325"	"CCPG1"	20
"326"	"CD151"	4
"327"	"CD200"	18
"328"	"CD24"	13
"329"	"CD248"	14
"330"	"CD302"	20
"331"	"CD44"	10
"332"	"CD46"	7
"333"	"CD47"	13
"334"	"CD59"	20
"335"	"CD63"	1
"336"	"CD74"	18
"337"	"CD81"	2
"338"	"CD82"	20
"339"	"CD9"	4
"340"	"CD99"	4
"341"	"CDC20"	9
"342"	"CDC26"	7
"343"	"CDC42BPA"	14
"344"	"CDC42EP1"	3
"345"	"CDC42EP3"	5
"346"	"CDC42EP4"	6
"347"	"CDC42EP5"	18
"348"	"CDC42SE1"	2
"349"	"CDCA2"	3
"350"	"CDCA3"	20
"351"	"CDCA4"	20
"352"	"CDCA7L"	3
"353"	"CDCA8"	3
"354"	"CDH1"	1
"355"	"CDH11"	3
"356"	"CDH13"	14
"357"	"CDH6"	13
"358"	"CDH7"	3
"359"	"CDH8"	9
"360"	"CDK1"	9
"361"	"CDK14"	3
"362"	"CDK18"	2
"363"	"CDK2AP1"	2
"364"	"CDK5"	14
"365"	"CDK5RAP3"	7
"366"	"CDK6"	3
"367"	"CDKN1A"	1
"368"	"CDKN1C"	3
"369"	"CDKN2AIP"	2
"370"	"CDKN2C"	1
"371"	"CDKN2D"	13
"372"	"CDKN3"	9
"373"	"CDON"	18
"374"	"CEBPD"	10
"375"	"CEBPZ"	7
"376"	"CELF2"	6
"377"	"CELF3"	1
"378"	"CELF4"	2
"379"	"CENPA"	3
"380"	"CENPE"	20
"381"	"CENPF"	3
"382"	"CENPK"	13
"383"	"CENPL"	3
"384"	"CENPM"	9
"385"	"CENPN"	3
"386"	"CENPV"	2
"387"	"CENPW"	14
"388"	"CEP152"	20
"389"	"CEP170"	20
"390"	"CEP55"	3
"391"	"CEP70"	20
"392"	"CERCAM"	20
"393"	"CES1"	13
"394"	"CFH"	1
"395"	"CFI"	1
"396"	"CFL2"	13
"397"	"CGNL1"	17
"398"	"CH25H"	1
"399"	"CHAF1A"	14
"400"	"CHCHD10"	20
"401"	"CHD1"	2
"402"	"CHD6"	6
"403"	"CHD7"	19
"404"	"CHEK1"	14
"405"	"CHGA"	1
"406"	"CHL1"	20
"407"	"CHMP4B"	2
"408"	"CHODL"	1
"409"	"CHPF"	20
"410"	"CHPT1"	13
"411"	"CHRDL1"	2
"412"	"CHRM2"	1
"413"	"CHRM3"	10
"414"	"CHRNA3"	10
"415"	"CHST12"	20
"416"	"CIRBP"	18
"417"	"CISD1"	14
"418"	"CISD3"	20
"419"	"CISH"	7
"420"	"CIZ1"	2
"421"	"CKAP4"	17
"422"	"CKB"	11
"423"	"CKS1B"	20
"424"	"CLASP2"	2
"425"	"CLDN15"	20
"426"	"CLDN3"	1
"427"	"CLDN4"	20
"428"	"CLDN6"	1
"429"	"CLDN7"	1
"430"	"CLEC11A"	20
"431"	"CLIC1"	3
"432"	"CLIC3"	1
"433"	"CLIC4"	20
"434"	"CLK1"	7
"435"	"CLMP"	14
"436"	"CLSPN"	14
"437"	"CLSTN3"	7
"438"	"CMB9_22P13_1"	2
"439"	"CMBL"	7
"440"	"CMSS1"	2
"441"	"CMTM7"	2
"442"	"CNN1"	11
"443"	"CNN2"	5
"444"	"CNP"	6
"445"	"CNTFR"	6
"446"	"CNTN4"	4
"447"	"CNTNAP3B"	13
"448"	"COL11A1"	20
"449"	"COL12A1"	1
"450"	"COL14A1"	10
"451"	"COL16A1"	20
"452"	"COL18A1"	4
"453"	"COL1A1"	12
"454"	"COL1A2"	12
"455"	"COL20A1"	1
"456"	"COL21A1"	19
"457"	"COL23A1"	13
"458"	"COL2A1"	4
"459"	"COL3A1"	12
"460"	"COL4A1"	10
"461"	"COL4A2"	10
"462"	"COL4A5"	20
"463"	"COL5A1"	9
"464"	"COL5A2"	17
"465"	"COL6A1"	20
"466"	"COL6A2"	9
"467"	"COL6A3"	4
"468"	"COL9A1"	9
"469"	"COL9A3"	4
"470"	"COLEC10"	15
"471"	"COLEC12"	13
"472"	"COMMD4"	14
"473"	"COMMD6"	7
"474"	"COMT"	20
"475"	"COPB2"	20
"476"	"COPG1"	20
"477"	"COPS4"	14
"478"	"COPS8"	20
"479"	"COQ6"	20
"480"	"CORO1A"	6
"481"	"CORO1C"	13
"482"	"CORO7"	20
"483"	"COTL1"	19
"484"	"COX17"	14
"485"	"COX20"	6
"486"	"COX6A1"	13
"487"	"COX6C"	7
"488"	"COX7A1"	15
"489"	"COX7A2"	1
"490"	"CPD"	20
"491"	"CPE"	4
"492"	"CPED1"	3
"493"	"CPM"	20
"494"	"CPNE2"	13
"495"	"CPS1"	1
"496"	"CPVL"	1
"497"	"CPXM1"	19
"498"	"CPXM2"	1
"499"	"CRABP1"	11
"500"	"CRABP2"	4
"501"	"CRB2"	3
"502"	"CREB3"	20
"503"	"CREB3L1"	6
"504"	"CREB3L2"	20
"505"	"CREB5"	14
"506"	"CRELD1"	13
"507"	"CRIP1"	1
"508"	"CRIP2"	4
"509"	"CRISPLD2"	4
"510"	"CRLF3"	6
"511"	"CRMP1"	6
"512"	"CRTC3"	13
"513"	"CRYAB"	12
"514"	"CRYL1"	1
"515"	"CSRP1"	11
"516"	"CSRP2"	17
"517"	"CTD_3252C9_4"	14
"518"	"CTGF"	12
"519"	"CTHRC1"	5
"520"	"CTNNA1"	20
"521"	"CTNNAL1"	3
"522"	"CTNNB1"	11
"523"	"CTSB"	20
"524"	"CTSC"	4
"525"	"CTSD"	20
"526"	"CTSF"	7
"527"	"CTSH"	20
"528"	"CTSL"	20
"529"	"CTTN"	6
"530"	"CTXN1"	13
"531"	"CUEDC1"	2
"532"	"CUL2"	15
"533"	"CXADR"	20
"534"	"CXCL1"	14
"535"	"CXCL12"	8
"536"	"CXCL14"	5
"537"	"CXCR4"	20
"538"	"CXXC5"	14
"539"	"CYB5R3"	20
"540"	"CYBA"	9
"541"	"CYBRD1"	15
"542"	"CYC1"	14
"543"	"CYCS"	6
