	"names"	"clusters"
"228"	"CAV1"	6
"229"	"CAV2"	16
"230"	"CBFB"	12
"231"	"CCBE1"	11
"232"	"CCDC106"	2
"233"	"CCDC109B"	5
"234"	"CCDC112"	2
"235"	"CCDC14"	7
"236"	"CCDC15"	9
"237"	"CCDC3"	5
"238"	"CCDC51"	1
"239"	"CCDC58"	9
"240"	"CCDC68"	11
"241"	"CCDC69"	2
"242"	"CCDC77"	1
"243"	"CCDC8"	20
"244"	"CCDC80"	8
"245"	"CCL2"	4
"246"	"CCL25"	3
"247"	"CCNA2"	16
"248"	"CCNB1"	2
"249"	"CCNB2"	3
"250"	"CCND1"	1
"251"	"CD24"	6
"252"	"CD248"	19
"253"	"CD4"	12
"254"	"CD44"	15
"255"	"CD74"	5
"256"	"CD82"	2
"257"	"CD9"	3
"258"	"CDC20"	2
"259"	"CDC25B"	3
"260"	"CDC34"	2
"261"	"CDC42EP1"	11
"262"	"CDC42EP2"	20
"263"	"CDC42EP3"	3
"264"	"CDC42EP4"	12
"265"	"CDC42EP5"	20
"266"	"CDCA2"	1
"267"	"CDCA3"	2
"268"	"CDCA7L"	1
"269"	"CDH11"	20
"270"	"CDH13"	5
"271"	"CDH17"	1
"272"	"CDH19"	1
"273"	"CDH2"	3
"274"	"CDH3"	1
"275"	"CDH6"	1
"276"	"CDH7"	14
"277"	"CDH8"	2
"278"	"CDK1"	1
"279"	"CDK2AP1"	5
"280"	"CDK2AP2"	2
"281"	"CDKN1A"	2
"282"	"CDKN2AIP"	7
"283"	"CDKN2D"	16
"284"	"CDON"	17
"285"	"CDX1"	1
"286"	"CDX2"	18
"287"	"CEBPB"	11
"288"	"CEBPD"	15
"289"	"CEBPZ"	12
"290"	"CELF3"	1
"291"	"CELF4"	1
"292"	"CENPA"	2
"293"	"CENPE"	16
"294"	"CENPF"	2
"295"	"CENPK"	7
"296"	"CENPV"	1
"297"	"CEP170"	18
"298"	"CEP290"	7
"299"	"CEP295"	1
"300"	"CEP55"	2
"301"	"CEP97"	20
"302"	"CERCAM"	5
"303"	"CERS5"	5
"304"	"CES1"	2
"305"	"CFD"	1
"306"	"CFDP1"	5
"307"	"CFL1"	2
"308"	"CGNL1"	7
"309"	"CH17_189H20_1"	14
"310"	"CH17_360D5_2"	1
"311"	"CHAF1A"	12
"312"	"CHD3"	5
"313"	"CHD6"	7
"314"	"CHD7"	18
