	"names"	"clusters"
"227"	"ARFGAP3"	13
"228"	"ARFGEF1"	4
"229"	"ARFGEF3"	3
"230"	"ARFIP1"	16
"231"	"ARGLU1"	14
"232"	"ARHGAP11B"	9
"233"	"ARHGAP18"	13
"234"	"ARHGAP24"	4
"235"	"ARHGAP26"	9
"236"	"ARHGAP29"	8
"237"	"ARHGAP33"	5
"238"	"ARHGAP5"	9
"239"	"ARHGAP5_AS1"	16
"240"	"ARHGDIB"	3
"241"	"ARHGEF1"	4
"242"	"ARHGEF10"	4
"243"	"ARHGEF10L"	4
"244"	"ARHGEF19"	15
"245"	"ARHGEF2"	9
"246"	"ARHGEF3"	5
"247"	"ARHGEF39"	9
"248"	"ARHGEF40"	4
"249"	"ARID1B"	4
"250"	"ARID2"	4
"251"	"ARID3A"	8
"252"	"ARID3B"	4
"253"	"ARID4A"	9
"254"	"ARID4B"	16
"255"	"ARID5A"	19
"256"	"ARID5B"	3
"257"	"ARL10"	3
"258"	"ARL15"	19
"259"	"ARL16"	3
"260"	"ARL2BP"	4
"261"	"ARL3"	16
"262"	"ARL4A"	19
"263"	"ARL4C"	8
"264"	"ARL4D"	4
"265"	"ARL6IP1"	4
"266"	"ARL6IP6"	4
"267"	"ARL8A"	4
"268"	"ARL8B"	13
"269"	"ARMCX1"	19
"270"	"ARMCX2"	4
"271"	"ARMT1"	16
"272"	"ARNT2"	4
"273"	"ARPC1A"	19
"274"	"ARPC1B"	19
"275"	"ARPC2"	16
"276"	"ARPC5"	4
"277"	"ARPP19"	16
"278"	"ARRB1"	5
"279"	"ARRB2"	19
"280"	"ARRDC3"	4
"281"	"ARRDC4"	4
"282"	"ARSD"	4
"283"	"ARSE"	19
"284"	"ARSJ"	12
"285"	"ASAH1"	19
"286"	"ASAH2"	19
"287"	"ASAP2"	15
"288"	"ASAP3"	4
"289"	"ASB3"	4
"290"	"ASCL2"	12
"291"	"ASF1B"	9
"292"	"ASGR1"	19
"293"	"ASGR2"	16
"294"	"ASPM"	4
"295"	"ASPN"	3
"296"	"ASRGL1"	8
"297"	"ASS1"	12
"298"	"ASXL1"	16
"299"	"ATAD2"	5
"300"	"ATAD3A"	13
"301"	"ATAT1"	4
"302"	"ATF3"	4
"303"	"ATF6B"	1
"304"	"ATF7"	9
"305"	"ATF7IP"	4
"306"	"ATL1"	4
"307"	"ATL2"	4
"308"	"ATM"	16
"309"	"ATOH1"	7
"310"	"ATP11C"	16
"311"	"ATP1A1"	11
"312"	"ATP1B1"	12
"313"	"ATP1B3"	12
"314"	"ATP2A3"	4
"315"	"ATP2B1"	1
"316"	"ATP2B4"	4
"317"	"ATP2C2"	15
"318"	"ATP5A1"	12
"319"	"ATP5B"	13
"320"	"ATP5D"	13
"321"	"ATP5E"	4
"322"	"ATP5EP2"	4
"323"	"ATP5F1"	13
"324"	"ATP5G1"	12
"325"	"ATP5G3"	13
"326"	"ATP5I"	19
"327"	"ATP5J"	19
"328"	"ATP5J2"	19
"329"	"ATP5L"	1
"330"	"ATP5O"	13
"331"	"ATP6AP2"	4
"332"	"ATP6V0A1"	16
"333"	"ATP6V0E2"	5
"334"	"ATP6V1B2"	12
"335"	"ATP6V1D"	9
"336"	"ATP6V1G1"	16
"337"	"ATP7B"	13
"338"	"ATP8A1"	4
"339"	"ATP9A"	4
"340"	"ATRAID"	16
"341"	"ATRN"	19
"342"	"ATRX"	16
"343"	"ATXN1"	5
"344"	"ATXN3"	16
"345"	"ATXN7L3B"	9
"346"	"AURKA"	3
"347"	"AURKB"	9
"348"	"AVPI1"	19
"349"	"AXL"	8
"350"	"AZI2"	9
"351"	"B2M"	19
"352"	"B3GALNT1"	4
"353"	"B3GALT4"	16
"354"	"B3GALT5"	9
"355"	"B3GALT6"	16
"356"	"B3GAT2"	9
"357"	"B3GNT2"	4
"358"	"B3GNT3"	3
"359"	"B3GNT5"	19
"360"	"B3GNT7"	18
"361"	"B4GALT2"	16
"362"	"B4GALT4"	9
"363"	"B4GAT1"	5
"364"	"B9D1"	13
"365"	"BAALC"	19
"366"	"BAIAP2"	16
"367"	"BAIAP2_AS1"	9
"368"	"BAMBI"	13
"369"	"BASP1"	8
"370"	"BAZ1B"	5
"371"	"BAZ2A"	3
"372"	"BAZ2B"	3
"373"	"BBC3"	4
"374"	"BBIP1"	16
"375"	"BBS10"	1
"376"	"BCAM"	8
"377"	"BCAP29"	5
"378"	"BCAR1"	16
"379"	"BCAS1"	5
"380"	"BCAS3"	9
"381"	"BCAS4"	4
"382"	"BCHE"	4
"383"	"BCL10"	3
"384"	"BCL2L11"	19
"385"	"BCL7A"	4
"386"	"BCL7C"	9
"387"	"BDH1"	13
"388"	"BDH2"	11
"389"	"BEND5"	4
"390"	"BEND7"	16
"391"	"BEST1"	14
"392"	"BEX1"	10
"393"	"BEX2"	4
